id1,id2
0,483
0,117
0,497
0,224
1,388
1,611
1,325
2,502
2,195
2,628
3,98
3,192
3,621
4,400
4,175
4,450
5,611
5,113
5,524
5,562
6,41
6,250
6,238
7,479
7,491
8,225
8,119
8,219
9,94
9,152
10,571
10,394
10,60
11,545
11,411
11,199
11,14
12,508
12,495
12,172
13,554
13,270
13,548
14,208
14,36
15,486
15,169
16,501
16,430
16,217
17,45
17,161
18,468
18,355
18,478
19,498
19,79
19,448
20,248
20,453
21,322
21,271
22,513
22,282
23,461
23,104
23,430
24,598
24,530
25,615
25,214
25,336
26,612
26,479
27,46
27,491
28,363
28,309
28,606
28,581
29,323
29,440
30,564
30,442
31,587
31,265
31,484
32,228
32,49
32,251
33,402
33,401
33,276
34,602
35,487
35,408
36,480
37,503
37,330
37,486
37,506
38,577
38,165
39,116
39,485
40,67
40,403
41,250
42,468
42,355
42,598
43,366
43,202
44,389
44,393
44,601
45,445
45,73
46,137
47,529
47,405
47,232
48,405
48,609
48,511
48,600
49,55
50,148
50,475
51,246
51,115
52,466
52,445
53,115
53,439
54,415
54,149
55,194
55,73
56,263
56,501
56,177
57,229
57,88
57,225
57,255
57,261
58,560
58,547
58,377
59,522
59,60
60,627
60,555
61,137
61,477
62,594
62,568
63,71
63,403
63,614
64,613
64,333
64,514
65,269
65,231
65,305
66,338
66,123
67,365
68,613
68,218
69,171
70,402
70,523
71,130
71,449
71,460
71,614
72,592
72,253
73,578
73,161
74,518
74,487
74,379
74,571
75,233
75,293
75,389
76,207
76,381
76,399
77,126
78,331
78,399
79,597
79,240
79,361
80,283
80,514
81,366
81,446
81,281
82,151
82,420
83,100
83,510
84,507
84,365
85,275
85,496
86,132
86,495
86,527
86,548
87,169
87,503
88,367
88,378
88,456
89,327
89,472
89,480
90,528
90,447
90,283
91,293
91,274
91,163
92,281
92,160
93,489
93,145
93,381
93,496
93,610
94,612
94,490
95,341
95,145
96,625
96,322
97,183
97,229
98,201
98,621
99,184
99,261
99,183
99,119
99,219
99,523
100,520
101,621
101,453
102,427
102,158
102,293
102,377
103,318
103,399
104,362
104,461
105,210
105,432
106,411
106,568
106,108
107,300
107,138
108,209
108,185
109,448
109,474
110,187
110,419
111,532
111,134
111,558
111,585
111,617
112,152
113,308
113,386
113,524
114,615
114,336
114,147
115,154
115,166
116,258
116,484
116,485
116,529
116,600
117,224
117,483
118,177
118,371
119,463
120,494
120,610
121,421
121,341
122,301
122,556
122,263
124,208
124,340
124,542
125,307
125,167
125,530
126,436
127,255
127,182
127,142
127,451
128,200
128,560
128,275
128,337
129,312
129,173
130,566
131,400
132,295
132,332
133,593
133,427
133,237
134,617
134,479
134,329
134,632
135,144
135,310
136,317
136,579
136,464
138,157
139,194
140,268
140,266
140,395
141,310
141,282
141,144
142,279
142,429
143,155
143,467
143,166
143,346
144,174
145,467
146,624
146,325
146,607
147,171
147,509
148,552
149,328
149,227
149,505
150,574
150,583
151,329
153,380
153,584
154,590
155,179
155,273
156,346
156,211
156,599
157,168
157,498
158,239
158,580
159,367
159,225
159,417
160,321
160,272
161,228
162,404
162,226
163,427
163,237
163,595
164,590
164,273
164,351
165,443
165,416
166,590
166,346
167,244
168,240
168,296
169,303
170,368
170,573
171,572
172,527
172,285
172,295
172,253
172,601
173,196
174,294
174,212
175,374
176,291
176,317
176,323
176,391
178,280
178,499
179,346
179,273
180,344
180,200
181,334
181,451
181,407
182,334
184,235
185,627
186,370
186,210
187,468
188,512
188,299
189,249
189,246
189,193
190,513
190,605
190,629
191,213
191,455
192,316
192,621
193,214
195,215
195,628
196,216
197,217
197,263
198,367
198,219
198,482
199,633
200,337
200,421
201,248
202,272
202,599
203,361
203,338
203,597
203,543
203,353
204,545
204,208
204,555
205,211
205,489
205,533
206,521
206,254
207,223
207,364
207,494
210,247
212,629
212,513
213,224
213,294
215,628
215,502
216,312
216,512
217,576
218,290
218,587
218,447
219,229
219,378
220,262
220,392
221,379
222,396
222,473
222,476
223,494
225,261
226,332
226,234
227,505
227,573
227,324
228,313
230,328
230,266
230,573
231,416
232,549
233,569
234,295
234,608
235,257
235,477
236,322
236,433
236,356
237,360
237,393
238,434
238,563
239,593
239,595
240,497
241,462
241,488
241,623
242,434
242,305
243,342
243,380
244,469
244,595
245,619
245,582
245,561
247,540
247,292
247,478
249,412
251,424
251,369
251,292
252,517
252,397
252,384
253,531
254,339
254,486
255,451
255,585
256,335
256,548
257,523
258,311
258,484
259,328
259,503
259,470
260,633
260,570
262,315
262,409
263,576
264,509
264,336
264,339
264,572
265,290
265,342
265,589
266,567
267,377
267,335
268,567
268,504
269,604
270,592
270,373
271,453
271,559
272,312
272,278
273,535
274,293
275,421
276,391
276,401
276,579
277,413
277,342
278,299
278,492
279,349
279,471
279,574
280,515
280,387
284,416
284,443
285,375
286,565
286,340
286,315
287,506
287,571
288,619
288,392
289,390
289,360
289,601
290,445
291,588
291,603
292,537
293,575
294,455
296,591
297,347
297,306
298,354
298,539
298,633
300,630
301,518
302,420
302,357
302,426
302,585
303,626
304,307
304,580
305,387
305,416
306,606
307,525
308,438
308,499
309,395
311,481
312,492
313,553
314,455
314,423
315,552
316,469
317,385
317,391
318,431
319,548
319,554
320,372
320,339
320,573
321,619
321,446
323,385
323,630
324,452
324,567
325,526
325,574
326,547
326,536
327,330
329,632
330,486
331,348
331,406
332,508
333,553
333,514
333,540
337,554
339,626
340,542
341,533
342,600
343,426
343,544
343,532
344,345
344,373
345,425
346,446
346,492
347,395
348,423
349,429
349,433
350,562
350,577
350,604
351,535
351,412
352,442
352,622
353,500
353,543
354,565
355,458
355,514
356,493
356,559
357,502
358,610
358,364
359,415
361,465
362,430
363,551
363,461
364,489
367,429
368,504
369,372
370,424
371,556
371,470
371,576
373,441
373,591
375,440
376,581
376,551
377,620
378,463
379,408
380,485
380,600
382,520
382,441
383,436
383,534
384,476
384,418
384,409
385,464
385,564
386,624
386,524
386,562
388,546
388,624
389,495
389,527
390,569
390,493
390,608
391,444
393,569
394,522
394,555
396,428
396,397
396,572
398,583
398,433
398,529
401,444
403,460
404,442
406,441
407,596
407,577
409,565
410,511
410,602
412,517
412,535
413,587
413,437
413,447
413,528
414,454
414,557
415,452
415,551
415,581
417,456
418,552
418,475
419,530
420,532
422,607
422,574
425,431
426,585
428,521
429,482
429,625
432,537
432,509
434,534
435,436
435,563
437,528
437,459
438,611
439,536
440,531
441,520
441,510
442,508
444,618
446,475
447,484
449,614
449,460
450,566
450,582
451,544
454,580
456,463
457,519
457,618
457,623
458,525
459,613
459,514
460,614
461,606
462,491
464,622
465,630
465,588
465,500
465,631
466,589
471,607
471,550
472,480
473,542
474,497
478,540
479,558
479,490
481,583
483,605
485,600
487,616
488,538
488,623
490,538
490,491
492,599
493,575
495,527
495,564
496,533
500,631
500,588
501,581
504,505
506,518
507,568
509,572
510,591
511,584
515,534
516,555
517,535
519,618
521,572
525,598
526,549
527,564
532,585
536,557
537,615
537,540
539,570
541,631
544,596
545,555
546,550
546,562
550,586
558,617
559,625
560,620
561,614
566,582
570,594
579,603
582,614
584,609
586,596
600,609
601,608
605,629
612,632
